,SET 1.1.4,0.7244,0.7039,0.6896,0.6935,SET 1.2.4,0.7705,0.7722,0.7708,0.7737,,SET 2.1.4,0.7122,0.6899,0.6115,0.6012,SET 2.2.4,0.8084,0.7739,0.7542,0.7433
,SET 1.1.5,0.5880,0.6972,0.7088,0.6842,SET 1.2.5,0.7792,0.7757,0.7798,0.7740,,SET 2.1.5,0.4580,0.3768,0.3289,0.3389,SET 2.2.5,0.8111,0.7716,0.7475,0.7191
,AVERAGE,0.6622,0.6740,0.6837,0.6836,AVERAGE,0.7920,0.7972,0.7966,0.7916,,AVERAGE,0.6723,0.5865,0.5066,0.4841,AVERAGE,0.8136,0.7809,0.7518,0.7403
,STD DEV,0.0715,0.0510,0.0502,0.0450,STD DEV,0.0189,0.0215,0.0208,0.0174,,STD DEV,0.1281,0.1234,0.1178,0.1125,STD DEV,0.0136,0.0155,0.0103,0.0194
,"Admix Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Admix Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",,"Admix Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Admix Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.6678,0.7200,0.7398,0.7429,SET 1.2.1,0.8176,0.8285,0.8284,0.8252,,SET 2.1.1,0.7766,0.7511,0.6970,0.7073,SET 2.2.1,0.8200,0.8246,0.8193,0.8201
,SET 1.1.2,0.7397,0.7102,0.7139,0.7176,SET 1.2.2,0.7890,0.8080,0.8122,0.8144,,SET 2.1.2,0.6583,0.6408,0.5904,0.5854,SET 2.2.2,0.7960,0.7935,0.7887,0.7892
,SET 1.1.3,0.5910,0.6114,0.6127,0.6259,SET 1.2.3,0.8037,0.8158,0.8165,0.8147,,SET 2.1.3,0.7562,0.7313,0.6053,0.6385,SET 2.2.3,0.8324,0.8233,0.8186,0.8184
,SET 1.1.4,0.7244,0.7318,0.7153,0.7252,SET 1.2.4,0.7705,0.7799,0.7796,0.7812,,SET 2.1.4,0.7122,0.7359,0.6768,0.6981,SET 2.2.4,0.8084,0.8064,0.8039,0.8043
,SET 1.1.5,0.5880,0.6784,0.6938,0.6879,SET 1.2.5,0.7792,0.7846,0.7865,0.7854,,SET 2.1.5,0.4580,0.4224,0.3702,0.3871,SET 2.2.5,0.8111,0.8037,0.7991,0.7942
,AVERAGE,0.6622,0.6904,0.6951,0.6999,AVERAGE,0.7920,0.8034,0.8046,0.8042,,AVERAGE,0.6723,0.6563,0.5879,0.6033,AVERAGE,0.8136,0.8103,0.8059,0.8052
,STD DEV,0.0715,0.0484,0.0489,0.0459,STD DEV,0.0189,0.0207,0.0207,0.0196,,STD DEV,0.1281,0.1377,0.1299,0.1305,STD DEV,0.0136,0.0134,0.0131,0.0139
,,,,,,,,,,,,,,,,,,,,,
"Lassosum-
TrueLD","No Weighing
#Tar:100",0 AUX,--,--,--,"No Weighing
#Tar:1000",0 AUX,--,--,--,"Lassosum-
TrueLD","No Weighing
#Tar:100",0 AUX,--,--,--,"No Weighing
#Tar:1000",0 AUX,--,--,--
,SET 1.1.1,0.3661,--,--,--,SET 1.2.1,0.7177,--,--,--,,SET 2.1.1,0.4553,--,--,--,SET 2.2.1,0.7522,--,--,--
,SET 1.1.2,0.2336,--,--,--,SET 1.2.2,0.7406,--,--,--,,SET 2.1.2,0.2180,--,--,--,SET 2.2.2,0.7266,--,--,--
,SET 1.1.3,0.4140,--,--,--,SET 1.2.3,0.6952,--,--,--,,SET 2.1.3,0.4497,--,--,--,SET 2.2.3,0.7426,--,--,--
,SET 1.1.4,0.3881,--,--,--,SET 1.2.4,0.7202,--,--,--,,SET 2.1.4,0.2457,--,--,--,SET 2.2.4,0.7075,--,--,--
,SET 1.1.5,0.3079,--,--,--,SET 1.2.5,0.7191,--,--,--,,SET 2.1.5,0.1157,--,--,--,SET 2.2.5,0.7130,--,--,--
,AVERAGE,0.3419,--,--,--,AVERAGE,0.7186,--,--,--,,AVERAGE,0.2969,--,--,--,AVERAGE,0.7284,--,--,--
,STD DEV,0.0721,--,--,--,STD DEV,0.0161,--,--,--,,STD DEV,0.1501,--,--,--,STD DEV,0.0190,--,--,--
,,,,,,,,,,,,,,,,,,,,,
"Lassosum-
ExtLD","No Weighing
#Tar:100",0 AUX,--,--,--,"No Weighing
#Tar:1000",0 AUX,--,--,--,"Lassosum-
ExtLD","No Weighing
#Tar:100",0 AUX,--,--,--,"No Weighing
#Tar:1000",0 AUX,--,--,--
,SET 1.1.1,0.3472,--,--,--,SET 1.2.1,0.5772,--,--,--,,SET 2.1.1,0.4499,--,--,--,SET 2.2.1,0.5908,--,--,--
,SET 1.1.2,0.0865,--,--,--,SET 1.2.2,0.5770,--,--,--,,SET 2.1.2,0.1424,--,--,--,SET 2.2.2,0.5514,--,--,--
,SET 1.1.3,0.3810,--,--,--,SET 1.2.3,0.5508,--,--,--,,SET 2.1.3,0.1262,--,--,--,SET 2.2.3,0.5799,--,--,--
,SET 1.1.4,0.2251,--,--,--,SET 1.2.4,0.5683,--,--,--,,SET 2.1.4,0.2078,--,--,--,SET 2.2.4,0.6014,--,--,--
