"Area under PR Curve
(Average Precision)",,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+,,Area under ROC,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+
,,Testing R2,0.440618522,0.429053136,0.429053136,0.436454542,0.441063250,0.261127936,0.242412735,0.258311637,0.4402555243,0.438500438,NA,0.4281711058,0.4290358473,0.4372658503,,,,Testing R2,0.707675494,0.698810585,0.698810585,0.705341227,0.703988414,0.530419744,0.481182625,0.50868984,0.7042801969,0.6925451999,NA,0.6970227485,0.7032563025,0.7056648417
,Data Set 3,Training R2,0.919165308,0.829701877,0.890692063,0.443314668,0.431814727,0.521573707,0.379710108,0.249265585,0.5169671026,0.4299513556,NA,0.4319909261,0.4363988111,0.518586076,,,Data Set 3,Training R2,0.966590050,0.927992575,0.953955119,0.717612903,0.711214751,0.753511426,0.653136375,0.497293128,0.7640089102,0.7073490636,NA,0.7091043643,0.7128276545,0.7645875753
,,Validation R2,0.494097523,0.580013324,0.508244249,0.479333416,0.471807168,0.273565125,0.275082947,0.265776739,0.48110965,0.4794544074,NA,0.4797819989,0.4782874452,0.4819262328,,,,Validation R2,0.727158123,0.787493550,0.728594301,0.723578317,0.726594290,0.524545343,0.546162480,0.519356486,0.7275091889,0.7299400529,NA,0.72724323,0.7235410827,0.723461295
,,Testing R2,0.439884714,0.422831800,0.428295073,0.436367755,0.441393003,0.256295390,0.241670145,0.25928745,0.440972233,0.4368725586,NA,0.4299538205,0.4288732877,0.4376407652,,,,Testing R2,0.707792208,0.665870894,0.700614337,0.705282871,0.704046770,0.502960275,0.486599185,0.509506833,0.7046038112,0.6947097021,NA,0.6980466429,0.7007628809,0.7062802394
,Average,Training R2,0.936504638,0.798535931,0.859266464,0.483688957,0.436932230,0.752349411,0.393791427,0.251096407,0.4796681959,0.4350551525,NA,0.4367342501,0.4389824117,0.6186233693,,,Average,Training R2,0.973391304,0.912135577,0.936618761,0.741296263,0.713800072,0.877897973,0.663047768,0.499645299,0.7391077194,0.7114015895,NA,0.7126046806,0.714974177,0.8146764018
,,Validation R2,0.481298289,0.533063034,0.489886215,0.468366262,0.465191869,0.260554269,0.270841874,0.25718106,0.468893965,0.4683057957,NA,0.4685323063,0.4675220553,0.4722482033,,,,Validation R2,0.729085438,0.755762885,0.728748557,0.724750309,0.727136846,0.510375942,0.535392919,0.508078944,0.7276155724,0.729372674,NA,0.7278070628,0.7251510203,0.7256244271
,,Testing R2,0.435347439,0.422849454,0.425951453,0.429416600,0.429660427,0.260011865,0.248474376,0.257938716,0.4289738387,0.4299759277,NA,0.4232619484,0.4240450778,0.4318604599,,,,Testing R2,0.701300470,0.680498967,0.695342784,0.699155420,0.697629304,0.520551276,0.495244815,0.507911751,0.69806079,0.6916680814,NA,0.6936840393,0.6967840166,0.6987999745
,Standard Deviation,Training R2,0.029621046,0.117034689,0.059827656,0.052701856,0.008708586,0.200477338,0.056706869,0.006213527,0.06688534707,0.01087725029,NA,0.01036146761,0.004693652405,0.1968333521,,,Standard Deviation,Training R2,0.011581206,0.054031494,0.032224915,0.030357678,0.004495494,0.107881949,0.049336361,0.008343568,0.04428542618,0.008006839408,NA,0.006921466088,0.003850243831,0.1010485107
,,Validation R2,0.021029347,0.040664323,0.033479467,0.018785935,0.013966704,0.011271754,0.006284813,0.007664028,0.01931846806,0.01980211386,NA,0.0200158492,0.0206691068,0.01624308505,,,,Validation R2,0.003264781,0.029790940,0.000453629,0.002179022,0.000930537,0.013177142,0.012329380,0.010047193,0.00009589283122,0.001771640061,NA,0.0004893353957,0.002570551673,0.003700684799
,,Testing R2,0.008502208,0.006194874,0.004730980,0.012114991,0.020036521,0.003303021,0.011148355,0.001568797,0.02016432514,0.01337988021,NA,0.01008624951,0.008503873937,0.009688910226,,,,Testing R2,0.011143096,0.016775941,0.007622048,0.010663635,0.011064877,0.015271992,0.019851162,0.00209543,0.01105377138,0.003562113862,NA,0.006689152011,0.009136421211,0.01242705868
